Episode no = 100; won: False; iter_time_steps = 12; Q(s,a) = -0.12345675547653533; score = -511.0; mean_score/100_episodes = -509.83; reward = -511.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:57:01
Episode no = 200; won: False; iter_time_steps = 7; Q(s,a) = -0.353220885266419; score = -506.0; mean_score/100_episodes = -509.27; reward = -506.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:57:10
Episode no = 300; won: False; iter_time_steps = 13; Q(s,a) = -0.5768217555384698; score = -512.0; mean_score/100_episodes = -509.54; reward = -512.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:57:18
Episode no = 400; won: False; iter_time_steps = 7; Q(s,a) = -0.8099273359112986; score = -506.0; mean_score/100_episodes = -509.77; reward = -506.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:57:28
Episode no = 500; won: False; iter_time_steps = 9; Q(s,a) = -1.0260414086484155; score = -508.0; mean_score/100_episodes = -509.18; reward = -508.0; mean_reward/100_episodes = -509.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:57:38
Episode no = 600; won: False; iter_time_steps = 14; Q(s,a) = -1.2439094939496647; score = -513.0; mean_score/100_episodes = -507.66; reward = -513.0; mean_reward/100_episodes = -507.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:57:47
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = -2.0907634981749976; score = -507.0; mean_score/100_episodes = -510.8; reward = -507.0; mean_reward/100_episodes = -510.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:57:58
Episode no = 800; won: False; iter_time_steps = 15; Q(s,a) = -3.021955109003427; score = -514.0; mean_score/100_episodes = -510.78; reward = -514.0; mean_reward/100_episodes = -510.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:58:10
Episode no = 900; won: False; iter_time_steps = 10; Q(s,a) = -3.8331690912036933; score = -509.0; mean_score/100_episodes = -512.56; reward = -509.0; mean_reward/100_episodes = -512.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:58:21
Episode no = 1000; won: False; iter_time_steps = 12; Q(s,a) = -4.776541552174897; score = -511.0; mean_score/100_episodes = -512.05; reward = -511.0; mean_reward/100_episodes = -512.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:58:32
Episode no = 1100; won: False; iter_time_steps = 7; Q(s,a) = -5.588767781092274; score = -506.0; mean_score/100_episodes = -509.07; reward = -506.0; mean_reward/100_episodes = -509.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:58:41
Episode no = 1200; won: False; iter_time_steps = 14; Q(s,a) = -6.407985634338173; score = -513.0; mean_score/100_episodes = -509.71; reward = -513.0; mean_reward/100_episodes = -509.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:58:50
Episode no = 1300; won: False; iter_time_steps = 11; Q(s,a) = -7.068829280874837; score = -510.0; mean_score/100_episodes = -510.46; reward = -510.0; mean_reward/100_episodes = -510.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:00
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = -7.765094196371553; score = -507.0; mean_score/100_episodes = -510.34; reward = -507.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:08
Episode no = 1500; won: False; iter_time_steps = 11; Q(s,a) = -8.395953667241894; score = -510.0; mean_score/100_episodes = -510.41; reward = -510.0; mean_reward/100_episodes = -510.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:18
Episode no = 1600; won: False; iter_time_steps = 19; Q(s,a) = -9.013032670192942; score = -508.0; mean_score/100_episodes = -510.09; reward = -507.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:29
Episode no = 1700; won: False; iter_time_steps = 9; Q(s,a) = -9.636657700138436; score = -508.0; mean_score/100_episodes = -510.07; reward = -508.0; mean_reward/100_episodes = -510.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:39
Episode no = 1800; won: False; iter_time_steps = 7; Q(s,a) = -10.071545013856035; score = -506.0; mean_score/100_episodes = -509.92; reward = -506.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:48
Episode no = 1900; won: False; iter_time_steps = 9; Q(s,a) = -10.667167096886311; score = -508.0; mean_score/100_episodes = -509.25; reward = -508.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:57
Episode no = 2000; won: False; iter_time_steps = 23; Q(s,a) = -11.12556071056898; score = -522.0; mean_score/100_episodes = -510.03; reward = -522.0; mean_reward/100_episodes = -509.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:00:06
Episode no = 2100; won: False; iter_time_steps = 20; Q(s,a) = -11.56785508792566; score = -519.0; mean_score/100_episodes = -509.95; reward = -519.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:00:17
Episode no = 2200; won: False; iter_time_steps = 6; Q(s,a) = -12.134751778897403; score = -505.0; mean_score/100_episodes = -509.72; reward = -505.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:00:27
Episode no = 2300; won: False; iter_time_steps = 8; Q(s,a) = -12.515268014251014; score = -507.0; mean_score/100_episodes = -509.35; reward = -507.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:00:37
Episode no = 2400; won: False; iter_time_steps = 11; Q(s,a) = -12.878329574596016; score = -510.0; mean_score/100_episodes = -508.48; reward = -510.0; mean_reward/100_episodes = -508.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:00:48
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -13.343387861639599; score = -509.0; mean_score/100_episodes = -509.42; reward = -509.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:00:57
Episode no = 2600; won: False; iter_time_steps = 7; Q(s,a) = -13.712999214954369; score = -506.0; mean_score/100_episodes = -509.1; reward = -506.0; mean_reward/100_episodes = -509.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:01:05
Episode no = 2700; won: False; iter_time_steps = 12; Q(s,a) = -14.046691432858973; score = -511.0; mean_score/100_episodes = -510.77; reward = -511.0; mean_reward/100_episodes = -510.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:01:16
Episode no = 2800; won: False; iter_time_steps = 15; Q(s,a) = -14.394455896156767; score = -514.0; mean_score/100_episodes = -510.38; reward = -514.0; mean_reward/100_episodes = -510.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:01:27
Episode no = 2900; won: False; iter_time_steps = 10; Q(s,a) = -14.723782907013886; score = -509.0; mean_score/100_episodes = -509.41; reward = -509.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:01:37
Episode no = 3000; won: False; iter_time_steps = 31; Q(s,a) = -15.017272542827227; score = -530.0; mean_score/100_episodes = -509.83; reward = -530.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:01:47
Episode no = 3100; won: False; iter_time_steps = 9; Q(s,a) = -15.360876177391223; score = -508.0; mean_score/100_episodes = -510.89; reward = -508.0; mean_reward/100_episodes = -510.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:01:58
Episode no = 3200; won: False; iter_time_steps = 11; Q(s,a) = -15.641673337810104; score = -510.0; mean_score/100_episodes = -509.52; reward = -510.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:02:08
Episode no = 3300; won: False; iter_time_steps = 25; Q(s,a) = -15.036775165277312; score = -524.0; mean_score/100_episodes = -509.05; reward = -524.0; mean_reward/100_episodes = -508.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:02:18
Episode no = 3400; won: False; iter_time_steps = 9; Q(s,a) = -16.194112627880294; score = -508.0; mean_score/100_episodes = -509.86; reward = -508.0; mean_reward/100_episodes = -509.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:02:28
Episode no = 3500; won: False; iter_time_steps = 6; Q(s,a) = -16.403013859548807; score = -505.0; mean_score/100_episodes = -509.18; reward = -505.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:02:38
Episode no = 3600; won: False; iter_time_steps = 10; Q(s,a) = -16.593753331571374; score = -509.0; mean_score/100_episodes = -509.67; reward = -509.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:02:47
Episode no = 3700; won: False; iter_time_steps = 9; Q(s,a) = -16.049470584101954; score = -508.0; mean_score/100_episodes = -509.8; reward = -508.0; mean_reward/100_episodes = -509.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:02:57
Episode no = 3800; won: False; iter_time_steps = 8; Q(s,a) = -17.099477329682422; score = -507.0; mean_score/100_episodes = -509.4; reward = -507.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:08
Episode no = 3900; won: False; iter_time_steps = 15; Q(s,a) = -16.537672447724564; score = -514.0; mean_score/100_episodes = -509.17; reward = -514.0; mean_reward/100_episodes = -508.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:17
Episode no = 4000; won: False; iter_time_steps = 13; Q(s,a) = -17.432752286460197; score = -512.0; mean_score/100_episodes = -511.01; reward = -512.0; mean_reward/100_episodes = -510.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:27
Episode no = 4100; won: False; iter_time_steps = 18; Q(s,a) = -17.009810387216714; score = -517.0; mean_score/100_episodes = -510.5; reward = -517.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:37
Episode no = 4200; won: False; iter_time_steps = 10; Q(s,a) = -17.828561308504515; score = -509.0; mean_score/100_episodes = -511.41; reward = -509.0; mean_reward/100_episodes = -511.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:49
Episode no = 4300; won: False; iter_time_steps = 21; Q(s,a) = -17.996993724602323; score = -510.0; mean_score/100_episodes = -510.88; reward = -509.0; mean_reward/100_episodes = -510.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:00
Episode no = 4400; won: False; iter_time_steps = 13; Q(s,a) = -18.15125936331057; score = -502.0; mean_score/100_episodes = -509.31; reward = -501.0; mean_reward/100_episodes = -509.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:10
Episode no = 4500; won: False; iter_time_steps = 17; Q(s,a) = -18.16133823155598; score = -516.0; mean_score/100_episodes = -510.03; reward = -516.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:21
Episode no = 4600; won: False; iter_time_steps = 31; Q(s,a) = -18.381515290391086; score = -530.0; mean_score/100_episodes = -509.24; reward = -530.0; mean_reward/100_episodes = -509.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:31
