Episode no = 100; won: False; iter_time_steps = 21; Q(s,a) = -0.15687495321834735; score = -520.0; mean_score/100_episodes = -510.23; reward = -520.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:08:20
Episode no = 200; won: False; iter_time_steps = 14; Q(s,a) = -0.38110159648331593; score = -513.0; mean_score/100_episodes = -509.67; reward = -513.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:08:29
Episode no = 300; won: False; iter_time_steps = 20; Q(s,a) = -0.6362221895254729; score = -519.0; mean_score/100_episodes = -510.82; reward = -519.0; mean_reward/100_episodes = -510.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:08:41
Episode no = 400; won: False; iter_time_steps = 11; Q(s,a) = -0.8717957974407652; score = -510.0; mean_score/100_episodes = -510.22; reward = -510.0; mean_reward/100_episodes = -510.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:08:52
Episode no = 500; won: False; iter_time_steps = 23; Q(s,a) = -1.1342753430986916; score = -522.0; mean_score/100_episodes = -511.22; reward = -522.0; mean_reward/100_episodes = -511.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:09:04
Episode no = 600; won: False; iter_time_steps = 16; Q(s,a) = -1.3693196044574225; score = -515.0; mean_score/100_episodes = -510.18; reward = -515.0; mean_reward/100_episodes = -510.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:09:16
Episode no = 700; won: False; iter_time_steps = 12; Q(s,a) = -2.032593398237438; score = -511.0; mean_score/100_episodes = -509.46; reward = -511.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:09:25
Episode no = 800; won: False; iter_time_steps = 6; Q(s,a) = -2.932072628929055; score = -505.0; mean_score/100_episodes = -509.36; reward = -505.0; mean_reward/100_episodes = -509.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:09:36
Episode no = 900; won: False; iter_time_steps = 6; Q(s,a) = -3.969193716196857; score = -505.0; mean_score/100_episodes = -510.58; reward = -505.0; mean_reward/100_episodes = -510.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:09:47
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = -4.673665046938831; score = -508.0; mean_score/100_episodes = -510.67; reward = -508.0; mean_reward/100_episodes = -510.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:09:58
Episode no = 1100; won: False; iter_time_steps = 10; Q(s,a) = -5.4595658715532505; score = -509.0; mean_score/100_episodes = -511.63; reward = -509.0; mean_reward/100_episodes = -511.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:10:12
Episode no = 1200; won: False; iter_time_steps = 12; Q(s,a) = -6.294785352212469; score = -511.0; mean_score/100_episodes = -509.14; reward = -511.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:10:22
Episode no = 1300; won: False; iter_time_steps = 7; Q(s,a) = -7.085009182746518; score = -506.0; mean_score/100_episodes = -509.65; reward = -506.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:10:32
Episode no = 1400; won: False; iter_time_steps = 9; Q(s,a) = -7.710856127012727; score = -508.0; mean_score/100_episodes = -509.94; reward = -508.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:10:42
Episode no = 1500; won: False; iter_time_steps = 20; Q(s,a) = -8.325463699285258; score = -519.0; mean_score/100_episodes = -511.03; reward = -519.0; mean_reward/100_episodes = -511.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:10:53
Episode no = 1600; won: False; iter_time_steps = 11; Q(s,a) = -8.966238639914886; score = -510.0; mean_score/100_episodes = -510.21; reward = -510.0; mean_reward/100_episodes = -510.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:11:04
Episode no = 1700; won: False; iter_time_steps = 10; Q(s,a) = -9.501710662963792; score = -509.0; mean_score/100_episodes = -511.23; reward = -509.0; mean_reward/100_episodes = -511.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:11:16
Episode no = 1800; won: False; iter_time_steps = 9; Q(s,a) = -10.05325435597233; score = -508.0; mean_score/100_episodes = -511.21; reward = -508.0; mean_reward/100_episodes = -511.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:11:27
Episode no = 1900; won: False; iter_time_steps = 7; Q(s,a) = -10.47933518421296; score = -506.0; mean_score/100_episodes = -511.46; reward = -506.0; mean_reward/100_episodes = -511.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:11:38
Episode no = 2000; won: False; iter_time_steps = 20; Q(s,a) = -10.979848610911707; score = -509.0; mean_score/100_episodes = -510.25; reward = -508.0; mean_reward/100_episodes = -510.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:11:48
Episode no = 2100; won: False; iter_time_steps = 11; Q(s,a) = -11.329047868201927; score = -510.0; mean_score/100_episodes = -510.44; reward = -510.0; mean_reward/100_episodes = -510.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:11:58
Episode no = 2200; won: False; iter_time_steps = 8; Q(s,a) = -11.520779334576373; score = -507.0; mean_score/100_episodes = -510.3; reward = -507.0; mean_reward/100_episodes = -510.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:12:08
Episode no = 2300; won: False; iter_time_steps = 14; Q(s,a) = -12.097094582645603; score = -513.0; mean_score/100_episodes = -509.59; reward = -513.0; mean_reward/100_episodes = -509.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:12:19
Episode no = 2400; won: False; iter_time_steps = 12; Q(s,a) = -12.322025952224932; score = -511.0; mean_score/100_episodes = -510.27; reward = -511.0; mean_reward/100_episodes = -510.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:12:30
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -12.943216476854293; score = -509.0; mean_score/100_episodes = -510.16; reward = -509.0; mean_reward/100_episodes = -510.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:12:39
Episode no = 2600; won: False; iter_time_steps = 9; Q(s,a) = -13.35410576697802; score = -508.0; mean_score/100_episodes = -510.69; reward = -508.0; mean_reward/100_episodes = -510.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:12:50
Episode no = 2700; won: False; iter_time_steps = 10; Q(s,a) = -13.591429328874687; score = -509.0; mean_score/100_episodes = -510.82; reward = -509.0; mean_reward/100_episodes = -510.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:13:00
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -13.997691814182573; score = -508.0; mean_score/100_episodes = -509.91; reward = -508.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:13:10
Episode no = 2900; won: False; iter_time_steps = 8; Q(s,a) = -14.433815921452167; score = -507.0; mean_score/100_episodes = -510.57; reward = -507.0; mean_reward/100_episodes = -510.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:13:19
Episode no = 3000; won: False; iter_time_steps = 18; Q(s,a) = -14.706017996100227; score = -507.0; mean_score/100_episodes = -510.55; reward = -506.0; mean_reward/100_episodes = -510.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:13:29
Episode no = 3100; won: False; iter_time_steps = 9; Q(s,a) = -15.048129211196594; score = -508.0; mean_score/100_episodes = -510.53; reward = -508.0; mean_reward/100_episodes = -510.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:13:39
Episode no = 3200; won: False; iter_time_steps = 17; Q(s,a) = -15.015055080613761; score = -516.0; mean_score/100_episodes = -511.25; reward = -516.0; mean_reward/100_episodes = -510.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:13:51
Episode no = 3300; won: False; iter_time_steps = 29; Q(s,a) = -15.418250878082148; score = -518.0; mean_score/100_episodes = -511.7; reward = -517.0; mean_reward/100_episodes = -511.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:14:03
Episode no = 3400; won: False; iter_time_steps = 12; Q(s,a) = -15.73294475120856; score = -511.0; mean_score/100_episodes = -512.32; reward = -511.0; mean_reward/100_episodes = -512.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:14:15
