Episode no = 100; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.67; reward = -505.0; mean_reward/100_episodes = -509.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-03 14:28:41
Episode no = 200; won: False; iter_time_steps = 26; Q(s,a) = nan; score = -515.0; mean_score/100_episodes = -509.61; reward = -514.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-03 14:28:49
Episode no = 300; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.75; reward = -505.0; mean_reward/100_episodes = -509.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-03 14:28:56
Episode no = 400; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -499.29; reward = -507.0; mean_reward/100_episodes = -503.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.01, 2024-12-03 14:29:03
Episode no = 500; won: False; iter_time_steps = 11; Q(s,a) = -1.0511316565649647; score = -510.0; mean_score/100_episodes = -509.62; reward = -510.0; mean_reward/100_episodes = -509.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-03 14:29:11
Episode no = 600; won: False; iter_time_steps = 10; Q(s,a) = -1.2818465930214045; score = -509.0; mean_score/100_episodes = -509.61; reward = -509.0; mean_reward/100_episodes = -509.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-03 14:29:18
Episode no = 700; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -517.0; mean_score/100_episodes = -509.6; reward = -517.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-03 14:29:26
Episode no = 800; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.12; reward = -507.0; mean_reward/100_episodes = -508.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-03 14:29:33
Episode no = 900; won: False; iter_time_steps = 13; Q(s,a) = -2.6806840961302276; score = -512.0; mean_score/100_episodes = -508.52; reward = -512.0; mean_reward/100_episodes = -508.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-03 14:29:40
Episode no = 1000; won: False; iter_time_steps = 19; Q(s,a) = -3.6103472444944376; score = -518.0; mean_score/100_episodes = -509.38; reward = -518.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-03 14:29:47
Episode no = 1100; won: False; iter_time_steps = 10; Q(s,a) = -4.711455372951971; score = -509.0; mean_score/100_episodes = -509.35; reward = -509.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-03 14:29:55
Episode no = 1200; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.49; reward = -509.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-03 14:30:04
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = -6.360541890766553; score = -507.0; mean_score/100_episodes = -509.63; reward = -507.0; mean_reward/100_episodes = -509.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-03 14:30:11
Episode no = 1400; won: False; iter_time_steps = 11; Q(s,a) = -7.047856488226525; score = -510.0; mean_score/100_episodes = -509.83; reward = -510.0; mean_reward/100_episodes = -509.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-03 14:30:20
Episode no = 1500; won: False; iter_time_steps = 8; Q(s,a) = -7.827358043230959; score = -507.0; mean_score/100_episodes = -509.82; reward = -507.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-03 14:30:28
