Episode no = 100; won: False; iter_time_steps = 9; Q(s,a) = -0.1488143904413064; score = -508.0; mean_score/100_episodes = -509.73; reward = -508.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-04 05:40:07
Episode no = 200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.42; reward = -507.0; mean_reward/100_episodes = -509.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-04 05:40:14
Episode no = 300; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.4; reward = -511.0; mean_reward/100_episodes = -509.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-04 05:40:20
Episode no = 400; won: False; iter_time_steps = 22; Q(s,a) = nan; score = -521.0; mean_score/100_episodes = -510.17; reward = -521.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-04 05:40:26
Episode no = 500; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.59; reward = -505.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-04 05:40:33
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.55; reward = -507.0; mean_reward/100_episodes = -509.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-04 05:40:39
Episode no = 700; won: False; iter_time_steps = 24; Q(s,a) = -1.517294398063609; score = -523.0; mean_score/100_episodes = -509.94; reward = -523.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-04 05:40:45
Episode no = 800; won: False; iter_time_steps = 7; Q(s,a) = -1.7438440169792344; score = -506.0; mean_score/100_episodes = -508.99; reward = -506.0; mean_reward/100_episodes = -508.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-04 05:40:51
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = -1.9813131681008036; score = -506.0; mean_score/100_episodes = -510.24; reward = -506.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-04 05:40:58
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -2.820702213771542; score = -509.0; mean_score/100_episodes = -509.94; reward = -509.0; mean_reward/100_episodes = -509.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-04 05:41:05
Episode no = 1100; won: False; iter_time_steps = 9; Q(s,a) = -3.5856430930308196; score = -508.0; mean_score/100_episodes = -510.1; reward = -508.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-04 05:41:12
Episode no = 1200; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.14; reward = -508.0; mean_reward/100_episodes = -510.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-04 05:41:19
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.49; reward = -507.0; mean_reward/100_episodes = -509.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-04 05:41:26
Episode no = 1400; won: False; iter_time_steps = 9; Q(s,a) = -6.402702199850026; score = -508.0; mean_score/100_episodes = -510.1; reward = -508.0; mean_reward/100_episodes = -510.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-04 05:41:34
Episode no = 1500; won: False; iter_time_steps = 22; Q(s,a) = -6.960909038983517; score = -521.0; mean_score/100_episodes = -510.35; reward = -521.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-04 05:41:41
Episode no = 1600; won: False; iter_time_steps = 19; Q(s,a) = -7.825074240609128; score = -518.0; mean_score/100_episodes = -509.28; reward = -518.0; mean_reward/100_episodes = -509.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-04 05:41:47
Episode no = 1700; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.84; reward = -506.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-04 05:41:53
Episode no = 1800; won: False; iter_time_steps = 11; Q(s,a) = -9.266347532726762; score = -510.0; mean_score/100_episodes = -509.63; reward = -510.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-04 05:42:00
Episode no = 1900; won: False; iter_time_steps = 7; Q(s,a) = -9.656765022050616; score = -506.0; mean_score/100_episodes = -509.4; reward = -506.0; mean_reward/100_episodes = -509.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-04 05:42:06
Episode no = 2000; won: False; iter_time_steps = 17; Q(s,a) = -10.21101589356379; score = -516.0; mean_score/100_episodes = -510.15; reward = -516.0; mean_reward/100_episodes = -510.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-04 05:42:14
Episode no = 2100; won: False; iter_time_steps = 6; Q(s,a) = -11.00349198282348; score = -505.0; mean_score/100_episodes = -510.09; reward = -505.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-04 05:42:22
Episode no = 2200; won: False; iter_time_steps = 12; Q(s,a) = -11.096908883806305; score = -511.0; mean_score/100_episodes = -509.65; reward = -511.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-04 05:42:29
Episode no = 2300; won: False; iter_time_steps = 10; Q(s,a) = -11.609876071375258; score = -509.0; mean_score/100_episodes = -509.01; reward = -509.0; mean_reward/100_episodes = -508.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-04 05:42:35
Episode no = 2400; won: False; iter_time_steps = 13; Q(s,a) = -12.070321955163926; score = -512.0; mean_score/100_episodes = -510.31; reward = -512.0; mean_reward/100_episodes = -510.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-04 05:42:42
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -511.06; reward = -509.0; mean_reward/100_episodes = -510.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-04 05:42:50
Episode no = 2600; won: False; iter_time_steps = 13; Q(s,a) = -12.46972504255982; score = -512.0; mean_score/100_episodes = -510.13; reward = -512.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-04 05:42:58
Episode no = 2700; won: False; iter_time_steps = 7; Q(s,a) = -12.427594045354116; score = -506.0; mean_score/100_episodes = -509.83; reward = -506.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-04 05:43:06
Episode no = 2800; won: False; iter_time_steps = 11; Q(s,a) = -13.542094507029496; score = -510.0; mean_score/100_episodes = -510.7; reward = -510.0; mean_reward/100_episodes = -510.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-04 05:43:15
Episode no = 2900; won: False; iter_time_steps = 7; Q(s,a) = -13.584591457612152; score = -506.0; mean_score/100_episodes = -509.92; reward = -506.0; mean_reward/100_episodes = -509.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-04 05:43:24
Episode no = 3000; won: False; iter_time_steps = 17; Q(s,a) = -13.882053505856051; score = -516.0; mean_score/100_episodes = -510.12; reward = -516.0; mean_reward/100_episodes = -510.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-04 05:43:33
Episode no = 3100; won: False; iter_time_steps = 6; Q(s,a) = -14.290817297555584; score = -505.0; mean_score/100_episodes = -509.97; reward = -505.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-04 05:43:42
Episode no = 3200; won: False; iter_time_steps = 10; Q(s,a) = -15.530362290898417; score = -509.0; mean_score/100_episodes = -509.09; reward = -509.0; mean_reward/100_episodes = -508.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-04 05:43:51
Episode no = 3300; won: False; iter_time_steps = 16; Q(s,a) = -15.125745478536476; score = -515.0; mean_score/100_episodes = -510.77; reward = -515.0; mean_reward/100_episodes = -510.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-04 05:44:00
Episode no = 3400; won: False; iter_time_steps = 9; Q(s,a) = -15.668768306841487; score = -508.0; mean_score/100_episodes = -511.13; reward = -508.0; mean_reward/100_episodes = -510.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-04 05:44:10
Episode no = 3500; won: False; iter_time_steps = 8; Q(s,a) = -16.644659381605926; score = -507.0; mean_score/100_episodes = -509.91; reward = -507.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-04 05:44:19
Episode no = 3600; won: False; iter_time_steps = 9; Q(s,a) = -15.912639618993193; score = -508.0; mean_score/100_episodes = -510.4; reward = -508.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-04 05:44:29
Episode no = 3700; won: False; iter_time_steps = 8; Q(s,a) = -16.141357701500446; score = -507.0; mean_score/100_episodes = -510.45; reward = -507.0; mean_reward/100_episodes = -510.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-04 05:44:38
Episode no = 3800; won: False; iter_time_steps = 24; Q(s,a) = -16.161158721459465; score = -523.0; mean_score/100_episodes = -510.48; reward = -523.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-04 05:44:48
Episode no = 3900; won: False; iter_time_steps = 10; Q(s,a) = -16.730374943826874; score = -509.0; mean_score/100_episodes = -510.83; reward = -509.0; mean_reward/100_episodes = -510.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-04 05:44:58
Episode no = 4000; won: False; iter_time_steps = 12; Q(s,a) = -17.142014572104074; score = -511.0; mean_score/100_episodes = -511.25; reward = -511.0; mean_reward/100_episodes = -511.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-04 05:45:08
Episode no = 4100; won: False; iter_time_steps = 27; Q(s,a) = -15.83073931610381; score = -526.0; mean_score/100_episodes = -511.46; reward = -526.0; mean_reward/100_episodes = -511.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-04 05:45:17
Episode no = 4200; won: False; iter_time_steps = 19; Q(s,a) = -16.85595128963919; score = -518.0; mean_score/100_episodes = -511.4; reward = -518.0; mean_reward/100_episodes = -511.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-04 05:45:28
Episode no = 4300; won: False; iter_time_steps = 11; Q(s,a) = -17.50919361934207; score = -510.0; mean_score/100_episodes = -510.76; reward = -510.0; mean_reward/100_episodes = -510.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-04 05:45:37
Episode no = 4400; won: False; iter_time_steps = 9; Q(s,a) = -17.703358879262453; score = -508.0; mean_score/100_episodes = -510.1; reward = -508.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-04 05:45:46
Episode no = 4500; won: False; iter_time_steps = 18; Q(s,a) = -16.629698490251776; score = -517.0; mean_score/100_episodes = -510.18; reward = -517.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-04 05:45:55
Episode no = 4600; won: False; iter_time_steps = 6; Q(s,a) = -17.098105585897684; score = -505.0; mean_score/100_episodes = -509.3; reward = -505.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-04 05:46:05
Episode no = 4700; won: False; iter_time_steps = 19; Q(s,a) = -15.743256766850166; score = -508.0; mean_score/100_episodes = -508.24; reward = -507.0; mean_reward/100_episodes = -507.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-04 05:46:13
Episode no = 4800; won: False; iter_time_steps = 22; Q(s,a) = -16.767846433690867; score = -521.0; mean_score/100_episodes = -508.9; reward = -521.0; mean_reward/100_episodes = -508.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-04 05:46:21
Episode no = 4900; won: False; iter_time_steps = 14; Q(s,a) = -16.312272843366486; score = -503.0; mean_score/100_episodes = -508.64; reward = -502.0; mean_reward/100_episodes = -508.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-04 05:46:30
Episode no = 5000; won: False; iter_time_steps = 12; Q(s,a) = -17.54377126473012; score = -511.0; mean_score/100_episodes = -508.47; reward = -511.0; mean_reward/100_episodes = -508.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-04 05:46:39
Episode no = 5100; won: False; iter_time_steps = 15; Q(s,a) = -15.535065338243708; score = -504.0; mean_score/100_episodes = -508.82; reward = -503.0; mean_reward/100_episodes = -508.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-04 05:46:50
Episode no = 5200; won: False; iter_time_steps = 23; Q(s,a) = -15.605046892953247; score = -512.0; mean_score/100_episodes = -509.1; reward = -511.0; mean_reward/100_episodes = -508.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-04 05:47:01
Episode no = 5300; won: False; iter_time_steps = 16; Q(s,a) = -15.078520798623046; score = -505.0; mean_score/100_episodes = -511.03; reward = -504.0; mean_reward/100_episodes = -510.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-04 05:47:13
Episode no = 5400; won: False; iter_time_steps = 16; Q(s,a) = -16.554193281809503; score = -505.0; mean_score/100_episodes = -511.16; reward = -504.0; mean_reward/100_episodes = -510.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-04 05:47:26
Episode no = 5500; won: False; iter_time_steps = 14; Q(s,a) = -18.022153971575534; score = -513.0; mean_score/100_episodes = -511.84; reward = -513.0; mean_reward/100_episodes = -511.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-04 05:47:39
Episode no = 5600; won: False; iter_time_steps = 21; Q(s,a) = -15.001616027367813; score = -510.0; mean_score/100_episodes = -510.52; reward = -509.0; mean_reward/100_episodes = -509.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-04 05:47:52
Episode no = 5700; won: False; iter_time_steps = 10; Q(s,a) = -18.49690927470645; score = -509.0; mean_score/100_episodes = -500.2; reward = -509.0; mean_reward/100_episodes = -503.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.01, 2024-12-04 05:48:05
Episode no = 5800; won: False; iter_time_steps = 14; Q(s,a) = -15.15033527511903; score = -503.0; mean_score/100_episodes = -488.46; reward = -502.0; mean_reward/100_episodes = -495.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.02, 2024-12-04 05:48:16
Episode no = 5900; won: False; iter_time_steps = 18; Q(s,a) = -16.37395836506062; score = -517.0; mean_score/100_episodes = -489.89; reward = -517.0; mean_reward/100_episodes = -497.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.02, 2024-12-04 05:48:29
