Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -508.75; reward = -507.0; mean_reward/100_episodes = -508.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.995, win percentage = 0.0, 2024-12-05 07:36:40
Episode no = 200; won: False; iter_time_steps = 15; Q(s,a) = nan; score = -514.0; mean_score/100_episodes = -510.16; reward = -514.0; mean_reward/100_episodes = -510.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.99, win percentage = 0.0, 2024-12-05 07:36:50
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.08; reward = -508.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.985, win percentage = 0.0, 2024-12-05 07:36:58
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.15; reward = -508.0; mean_reward/100_episodes = -509.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.98, win percentage = 0.0, 2024-12-05 07:37:07
Episode no = 500; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.14; reward = -508.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.975, win percentage = 0.0, 2024-12-05 07:37:16
Episode no = 600; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.33; reward = -509.0; mean_reward/100_episodes = -509.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.97, win percentage = 0.0, 2024-12-05 07:37:25
Episode no = 700; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.63; reward = -509.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.965, win percentage = 0.0, 2024-12-05 07:37:34
Episode no = 800; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.36; reward = -508.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-05 07:37:44
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.99; reward = -506.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.955, win percentage = 0.0, 2024-12-05 07:37:53
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.76; reward = -508.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.95, win percentage = 0.0, 2024-12-05 07:38:02
Episode no = 1100; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -510.23; reward = -512.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.945, win percentage = 0.0, 2024-12-05 07:38:12
Episode no = 1200; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.22; reward = -509.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.94, win percentage = 0.0, 2024-12-05 07:38:21
Episode no = 1300; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.6; reward = -509.0; mean_reward/100_episodes = -510.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.935, win percentage = 0.0, 2024-12-05 07:38:31
Episode no = 1400; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.49; reward = -511.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9299999999999999, win percentage = 0.0, 2024-12-05 07:38:40
Episode no = 1500; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.58; reward = -510.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.925, win percentage = 0.0, 2024-12-05 07:38:50
Episode no = 1600; won: False; iter_time_steps = 22; Q(s,a) = -8.284399410236329; score = -521.0; mean_score/100_episodes = -510.17; reward = -521.0; mean_reward/100_episodes = -510.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-05 07:39:00
Episode no = 1700; won: False; iter_time_steps = 8; Q(s,a) = -8.87628241462523; score = -507.0; mean_score/100_episodes = -509.24; reward = -507.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.915, win percentage = 0.0, 2024-12-05 07:39:08
Episode no = 1800; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.49; reward = -505.0; mean_reward/100_episodes = -509.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.91, win percentage = 0.0, 2024-12-05 07:39:18
Episode no = 1900; won: False; iter_time_steps = 20; Q(s,a) = -10.196885442876852; score = -519.0; mean_score/100_episodes = -509.95; reward = -519.0; mean_reward/100_episodes = -509.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.905, win percentage = 0.0, 2024-12-05 07:39:27
Episode no = 2000; won: False; iter_time_steps = 7; Q(s,a) = -10.69895677212627; score = -506.0; mean_score/100_episodes = -510.26; reward = -506.0; mean_reward/100_episodes = -510.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9, win percentage = 0.0, 2024-12-05 07:39:37
Episode no = 2100; won: False; iter_time_steps = 11; Q(s,a) = -11.269385521768093; score = -510.0; mean_score/100_episodes = -509.51; reward = -510.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.895, win percentage = 0.0, 2024-12-05 07:39:46
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = -11.738416117313177; score = -509.0; mean_score/100_episodes = -509.88; reward = -509.0; mean_reward/100_episodes = -509.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.89, win percentage = 0.0, 2024-12-05 07:39:56
Episode no = 2300; won: False; iter_time_steps = 11; Q(s,a) = -12.226789564591146; score = -510.0; mean_score/100_episodes = -510.29; reward = -510.0; mean_reward/100_episodes = -510.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.885, win percentage = 0.0, 2024-12-05 07:40:06
Episode no = 2400; won: False; iter_time_steps = 11; Q(s,a) = -12.74141034366184; score = -510.0; mean_score/100_episodes = -510.12; reward = -510.0; mean_reward/100_episodes = -509.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-05 07:40:16
Episode no = 2500; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.96; reward = -505.0; mean_reward/100_episodes = -509.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.875, win percentage = 0.0, 2024-12-05 07:40:26
Episode no = 2600; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.33; reward = -508.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.87, win percentage = 0.0, 2024-12-05 07:40:36
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -13.86637560082692; score = -508.0; mean_score/100_episodes = -510.16; reward = -508.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.865, win percentage = 0.0, 2024-12-05 07:40:46
Episode no = 2800; won: False; iter_time_steps = 21; Q(s,a) = -14.292419691476786; score = -520.0; mean_score/100_episodes = -510.42; reward = -520.0; mean_reward/100_episodes = -510.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.86, win percentage = 0.0, 2024-12-05 07:40:56
Episode no = 2900; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.93; reward = -508.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.855, win percentage = 0.0, 2024-12-05 07:41:06
Episode no = 3000; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.38; reward = -508.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.85, win percentage = 0.0, 2024-12-05 07:41:16
Episode no = 3100; won: False; iter_time_steps = 10; Q(s,a) = -15.350179853554804; score = -509.0; mean_score/100_episodes = -509.18; reward = -509.0; mean_reward/100_episodes = -508.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.845, win percentage = 0.0, 2024-12-05 07:41:25
Episode no = 3200; won: False; iter_time_steps = 12; Q(s,a) = -15.621040986682715; score = -511.0; mean_score/100_episodes = -510.63; reward = -511.0; mean_reward/100_episodes = -510.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-05 07:41:35
Episode no = 3300; won: False; iter_time_steps = 14; Q(s,a) = -15.91935187614523; score = -513.0; mean_score/100_episodes = -509.63; reward = -513.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.835, win percentage = 0.0, 2024-12-05 07:41:45
Episode no = 3400; won: False; iter_time_steps = 6; Q(s,a) = -16.185374139107296; score = -505.0; mean_score/100_episodes = -509.83; reward = -505.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.83, win percentage = 0.0, 2024-12-05 07:41:54
Episode no = 3500; won: False; iter_time_steps = 14; Q(s,a) = -16.411141996280435; score = -513.0; mean_score/100_episodes = -509.01; reward = -513.0; mean_reward/100_episodes = -508.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.825, win percentage = 0.0, 2024-12-05 07:42:03
Episode no = 3600; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -510.21; reward = -510.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2024-12-05 07:42:14
Episode no = 3700; won: False; iter_time_steps = 16; Q(s,a) = -16.888600824770347; score = -515.0; mean_score/100_episodes = -510.06; reward = -515.0; mean_reward/100_episodes = -509.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.815, win percentage = 0.0, 2024-12-05 07:42:24
Episode no = 3800; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -517.0; mean_score/100_episodes = -511.03; reward = -517.0; mean_reward/100_episodes = -510.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.81, win percentage = 0.0, 2024-12-05 07:42:35
Episode no = 3900; won: False; iter_time_steps = 22; Q(s,a) = -17.347986416691807; score = -521.0; mean_score/100_episodes = -510.24; reward = -521.0; mean_reward/100_episodes = -510.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8049999999999999, win percentage = 0.0, 2024-12-05 07:42:45
Episode no = 4000; won: False; iter_time_steps = 8; Q(s,a) = -17.606907229693327; score = -507.0; mean_score/100_episodes = -510.51; reward = -507.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-05 07:42:56
Episode no = 4100; won: False; iter_time_steps = 9; Q(s,a) = -17.78611640635058; score = -508.0; mean_score/100_episodes = -509.67; reward = -508.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.795, win percentage = 0.0, 2024-12-05 07:43:06
Episode no = 4200; won: False; iter_time_steps = 8; Q(s,a) = -17.979007390792578; score = -507.0; mean_score/100_episodes = -509.83; reward = -507.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.79, win percentage = 0.0, 2024-12-05 07:43:16
Episode no = 4300; won: False; iter_time_steps = 8; Q(s,a) = -18.13811561962013; score = -507.0; mean_score/100_episodes = -509.73; reward = -507.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.785, win percentage = 0.0, 2024-12-05 07:43:26
Episode no = 4400; won: False; iter_time_steps = 6; Q(s,a) = -18.284948733562928; score = -505.0; mean_score/100_episodes = -509.46; reward = -505.0; mean_reward/100_episodes = -509.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.78, win percentage = 0.0, 2024-12-05 07:43:36
