Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.17; reward = -507.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-05 09:42:40
Episode no = 200; won: False; iter_time_steps = 7; Q(s,a) = -0.39111583830173036; score = -506.0; mean_score/100_episodes = -509.81; reward = -506.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-05 09:42:52
Episode no = 300; won: False; iter_time_steps = 12; Q(s,a) = -0.6219505247157866; score = -511.0; mean_score/100_episodes = -509.81; reward = -511.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-05 09:43:04
Episode no = 400; won: False; iter_time_steps = 7; Q(s,a) = -0.8210753748498917; score = -506.0; mean_score/100_episodes = -509.28; reward = -506.0; mean_reward/100_episodes = -509.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-05 09:43:15
Episode no = 500; won: False; iter_time_steps = 17; Q(s,a) = nan; score = -516.0; mean_score/100_episodes = -509.52; reward = -516.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-05 09:43:27
Episode no = 600; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.6; reward = -510.0; mean_reward/100_episodes = -509.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-05 09:43:38
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.54; reward = -507.0; mean_reward/100_episodes = -509.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-05 09:43:49
Episode no = 800; won: False; iter_time_steps = 14; Q(s,a) = nan; score = -513.0; mean_score/100_episodes = -508.77; reward = -513.0; mean_reward/100_episodes = -508.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-05 09:44:00
Episode no = 900; won: False; iter_time_steps = 23; Q(s,a) = -1.073678735284998; score = -522.0; mean_score/100_episodes = -509.49; reward = -522.0; mean_reward/100_episodes = -509.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-05 09:44:10
Episode no = 1000; won: False; iter_time_steps = 7; Q(s,a) = -1.0853264066227797; score = -506.0; mean_score/100_episodes = -510.07; reward = -506.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-05 09:44:22
Episode no = 1100; won: False; iter_time_steps = 16; Q(s,a) = -1.0885710985192387; score = -515.0; mean_score/100_episodes = -509.37; reward = -515.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-05 09:44:34
Episode no = 1200; won: False; iter_time_steps = 15; Q(s,a) = -1.092423364123845; score = -504.0; mean_score/100_episodes = -508.64; reward = -514.0; mean_reward/100_episodes = -508.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-05 09:44:45
Episode no = 1300; won: False; iter_time_steps = 10; Q(s,a) = -1.0923791913246224; score = -509.0; mean_score/100_episodes = -508.91; reward = -509.0; mean_reward/100_episodes = -508.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-05 09:44:56
Episode no = 1400; won: False; iter_time_steps = 14; Q(s,a) = -1.0941067969206337; score = -503.0; mean_score/100_episodes = -509.31; reward = -502.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-05 09:45:08
Episode no = 1500; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.35; reward = -505.0; mean_reward/100_episodes = -509.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-05 09:45:19
