Episode no = 100; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.87; reward = -510.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-09 03:15:50
Episode no = 200; won: False; iter_time_steps = 11; Q(s,a) = -1.1059293535847419; score = -510.0; mean_score/100_episodes = -509.22; reward = -510.0; mean_reward/100_episodes = -509.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-09 03:15:58
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.82; reward = -508.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-09 03:16:07
Episode no = 400; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.83; reward = -510.0; mean_reward/100_episodes = -509.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-09 03:16:15
Episode no = 500; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.58; reward = -506.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-09 03:16:23
Episode no = 600; won: False; iter_time_steps = 11; Q(s,a) = -3.9975855317549414; score = -510.0; mean_score/100_episodes = -509.23; reward = -510.0; mean_reward/100_episodes = -509.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-09 03:16:31
Episode no = 700; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.0; reward = -506.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-09 03:16:40
Episode no = 800; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.06; reward = -507.0; mean_reward/100_episodes = -508.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-09 03:16:48
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = -5.807220018828497; score = -506.0; mean_score/100_episodes = -509.43; reward = -506.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-09 03:16:57
Episode no = 1000; won: False; iter_time_steps = 8; Q(s,a) = -6.325041651354036; score = -507.0; mean_score/100_episodes = -510.21; reward = -507.0; mean_reward/100_episodes = -510.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-09 03:17:05
Episode no = 1100; won: False; iter_time_steps = 13; Q(s,a) = -6.826994417768798; score = -512.0; mean_score/100_episodes = -511.07; reward = -512.0; mean_reward/100_episodes = -510.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-09 03:17:13
Episode no = 1200; won: False; iter_time_steps = 7; Q(s,a) = -7.2813835102305235; score = -506.0; mean_score/100_episodes = -509.6; reward = -506.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-09 03:17:19
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = -7.802518189902046; score = -507.0; mean_score/100_episodes = -509.41; reward = -507.0; mean_reward/100_episodes = -509.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-09 03:17:26
Episode no = 1400; won: False; iter_time_steps = 12; Q(s,a) = -8.191208618899505; score = -511.0; mean_score/100_episodes = -510.5; reward = -511.0; mean_reward/100_episodes = -510.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-09 03:17:35
Episode no = 1500; won: False; iter_time_steps = 5; Q(s,a) = -8.61541023933985; score = -504.0; mean_score/100_episodes = -509.9; reward = -504.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-09 03:17:41
Episode no = 1600; won: False; iter_time_steps = 11; Q(s,a) = -9.042596822869339; score = -510.0; mean_score/100_episodes = -509.88; reward = -510.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-09 03:17:47
Episode no = 1700; won: False; iter_time_steps = 9; Q(s,a) = -9.39066266167312; score = -508.0; mean_score/100_episodes = -510.11; reward = -508.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-09 03:17:53
Episode no = 1800; won: False; iter_time_steps = 9; Q(s,a) = -9.767154519487235; score = -508.0; mean_score/100_episodes = -510.86; reward = -508.0; mean_reward/100_episodes = -510.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-09 03:18:00
Episode no = 1900; won: False; iter_time_steps = 11; Q(s,a) = -10.082774875733117; score = -510.0; mean_score/100_episodes = -500.13; reward = -510.0; mean_reward/100_episodes = -504.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.01, 2024-12-09 03:18:07
Episode no = 2000; won: False; iter_time_steps = 7; Q(s,a) = -10.413076016637515; score = -506.0; mean_score/100_episodes = -509.01; reward = -506.0; mean_reward/100_episodes = -508.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-09 03:18:15
Episode no = 2100; won: False; iter_time_steps = 25; Q(s,a) = -10.701947153026634; score = -524.0; mean_score/100_episodes = -510.03; reward = -524.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-09 03:18:25
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = -10.96464004311562; score = -509.0; mean_score/100_episodes = -510.23; reward = -509.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-09 03:18:34
Episode no = 2300; won: False; iter_time_steps = 11; Q(s,a) = -11.234498442228432; score = -510.0; mean_score/100_episodes = -509.43; reward = -510.0; mean_reward/100_episodes = -509.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-09 03:18:42
Episode no = 2400; won: False; iter_time_steps = 7; Q(s,a) = -11.490704603904286; score = -506.0; mean_score/100_episodes = -509.37; reward = -506.0; mean_reward/100_episodes = -509.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-09 03:18:51
Episode no = 2500; won: False; iter_time_steps = 13; Q(s,a) = -11.743653212481075; score = -512.0; mean_score/100_episodes = -510.11; reward = -512.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-09 03:19:00
Episode no = 2600; won: False; iter_time_steps = 7; Q(s,a) = -11.95889386849413; score = -506.0; mean_score/100_episodes = -509.66; reward = -506.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-09 03:19:09
Episode no = 2700; won: False; iter_time_steps = 14; Q(s,a) = -12.168946272537816; score = -513.0; mean_score/100_episodes = -499.73; reward = -513.0; mean_reward/100_episodes = -503.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.01, 2024-12-09 03:19:17
Episode no = 2800; won: False; iter_time_steps = 7; Q(s,a) = -12.37526933447855; score = -506.0; mean_score/100_episodes = -510.21; reward = -506.0; mean_reward/100_episodes = -510.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-09 03:19:27
Episode no = 2900; won: False; iter_time_steps = 11; Q(s,a) = -12.539240435056648; score = -510.0; mean_score/100_episodes = -498.97; reward = -510.0; mean_reward/100_episodes = -502.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.01, 2024-12-09 03:19:35
Episode no = 3000; won: False; iter_time_steps = 6; Q(s,a) = -12.746443150178028; score = -505.0; mean_score/100_episodes = -510.3; reward = -505.0; mean_reward/100_episodes = -510.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-09 03:19:44
Episode no = 3100; won: False; iter_time_steps = 8; Q(s,a) = -12.913550420929136; score = -507.0; mean_score/100_episodes = -509.29; reward = -507.0; mean_reward/100_episodes = -509.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-09 03:19:53
