Episode no = 100; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -510.1; reward = -511.0; mean_reward/100_episodes = -510.1; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 07:49:47
Episode no = 100; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.07; reward = -508.0; mean_reward/100_episodes = -509.04; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 07:50:56
Episode no = 200; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.13; reward = -506.0; mean_reward/100_episodes = -509.99; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-24 07:51:02
Episode no = 100; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -508.95; reward = -512.0; mean_reward/100_episodes = -508.67; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 07:51:47
Episode no = 200; won: False; iter_time_steps = 15; Q(s,a) = -0.3429316778592662; score = -504.0; mean_score/100_episodes = -508.61; reward = -503.0; mean_reward/100_episodes = -508.44; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-24 07:51:53
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.64; reward = -508.0; mean_reward/100_episodes = -509.7; and epsilon = 0.96, win percentage = 0.0, 2024-11-24 07:51:59
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = -0.8095887691051121; score = -508.0; mean_score/100_episodes = -509.56; reward = -508.0; mean_reward/100_episodes = -509.28; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-24 07:52:05
Episode no = 500; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -517.0; mean_score/100_episodes = -509.8; reward = -517.0; mean_reward/100_episodes = -509.62; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-24 07:52:12
Episode no = 600; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.18; reward = -510.0; mean_reward/100_episodes = -509.23; and epsilon = 0.92, win percentage = 0.0, 2024-11-24 07:52:18
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = -2.666691114995281; score = -507.0; mean_score/100_episodes = -509.57; reward = -507.0; mean_reward/100_episodes = -509.51; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-24 07:52:24
Episode no = 800; won: False; iter_time_steps = 12; Q(s,a) = -3.5370255307852636; score = -511.0; mean_score/100_episodes = -509.71; reward = -511.0; mean_reward/100_episodes = -509.66; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-24 07:52:30
Episode no = 900; won: False; iter_time_steps = 5; Q(s,a) = -4.450901335151794; score = -504.0; mean_score/100_episodes = -509.05; reward = -504.0; mean_reward/100_episodes = -509.02; and epsilon = 0.88, win percentage = 0.0, 2024-11-24 07:52:36
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.63; reward = -508.0; mean_reward/100_episodes = -509.6; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-24 07:52:42
Episode no = 1100; won: False; iter_time_steps = 8; Q(s,a) = -6.047615951856649; score = -507.0; mean_score/100_episodes = -510.51; reward = -507.0; mean_reward/100_episodes = -510.25; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-24 07:52:49
Episode no = 1200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.1; reward = -507.0; mean_reward/100_episodes = -509.05; and epsilon = 0.84, win percentage = 0.0, 2024-11-24 07:52:55
Episode no = 1300; won: False; iter_time_steps = 22; Q(s,a) = -7.460590778794665; score = -521.0; mean_score/100_episodes = -510.13; reward = -521.0; mean_reward/100_episodes = -510.08; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-24 07:53:01
Episode no = 1400; won: False; iter_time_steps = 12; Q(s,a) = -8.209196956901984; score = -511.0; mean_score/100_episodes = -509.67; reward = -511.0; mean_reward/100_episodes = -509.5; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-24 07:53:08
Episode no = 1500; won: False; iter_time_steps = 14; Q(s,a) = -8.901258010859385; score = -513.0; mean_score/100_episodes = -509.12; reward = -513.0; mean_reward/100_episodes = -509.1; and epsilon = 0.8, win percentage = 0.0, 2024-11-24 07:53:13
Episode no = 1600; won: False; iter_time_steps = 9; Q(s,a) = -9.514185794499358; score = -508.0; mean_score/100_episodes = -509.66; reward = -508.0; mean_reward/100_episodes = -509.52; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-24 07:53:20
Episode no = 1700; won: False; iter_time_steps = 10; Q(s,a) = -10.126237189997612; score = -509.0; mean_score/100_episodes = -510.99; reward = -509.0; mean_reward/100_episodes = -510.96; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-24 07:53:27
Episode no = 1800; won: False; iter_time_steps = 7; Q(s,a) = -10.690145265851127; score = -506.0; mean_score/100_episodes = -509.03; reward = -506.0; mean_reward/100_episodes = -508.75; and epsilon = 0.76, win percentage = 0.0, 2024-11-24 07:53:33
Episode no = 1900; won: False; iter_time_steps = 18; Q(s,a) = -11.170674371521596; score = -517.0; mean_score/100_episodes = -509.27; reward = -517.0; mean_reward/100_episodes = -508.96; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-24 07:53:39
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = -11.720099969537339; score = -507.0; mean_score/100_episodes = -509.56; reward = -507.0; mean_reward/100_episodes = -509.44; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-24 07:53:45
Episode no = 2100; won: False; iter_time_steps = 23; Q(s,a) = -12.223519763607056; score = -522.0; mean_score/100_episodes = -510.32; reward = -522.0; mean_reward/100_episodes = -510.4; and epsilon = 0.72, win percentage = 0.0, 2024-11-24 07:53:52
Episode no = 2200; won: False; iter_time_steps = 9; Q(s,a) = -12.717439008309665; score = -508.0; mean_score/100_episodes = -509.83; reward = -508.0; mean_reward/100_episodes = -509.77; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-24 07:53:59
Episode no = 2300; won: False; iter_time_steps = 8; Q(s,a) = -13.098113851771553; score = -507.0; mean_score/100_episodes = -509.17; reward = -507.0; mean_reward/100_episodes = -509.12; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-24 07:54:05
Episode no = 2400; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -508.77; reward = -510.0; mean_reward/100_episodes = -508.58; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-24 07:54:11
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -13.854822784626071; score = -509.0; mean_score/100_episodes = -510.62; reward = -509.0; mean_reward/100_episodes = -510.59; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-24 07:54:18
Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -14.125255642735713; score = -507.0; mean_score/100_episodes = -509.48; reward = -507.0; mean_reward/100_episodes = -509.44; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-24 07:54:24
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -14.590553642608347; score = -508.0; mean_score/100_episodes = -510.03; reward = -508.0; mean_reward/100_episodes = -509.97; and epsilon = 0.64, win percentage = 0.0, 2024-11-24 07:54:31
Episode no = 2800; won: False; iter_time_steps = 12; Q(s,a) = -14.965365222477494; score = -511.0; mean_score/100_episodes = -509.62; reward = -511.0; mean_reward/100_episodes = -509.57; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-24 07:54:37
Episode no = 2900; won: False; iter_time_steps = 11; Q(s,a) = -15.262925460172738; score = -510.0; mean_score/100_episodes = -509.49; reward = -510.0; mean_reward/100_episodes = -509.44; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-24 07:54:44
Episode no = 3000; won: False; iter_time_steps = 20; Q(s,a) = -15.132030558530595; score = -519.0; mean_score/100_episodes = -510.1; reward = -519.0; mean_reward/100_episodes = -510.04; and epsilon = 0.6, win percentage = 0.0, 2024-11-24 07:54:51
