Episode no = 100; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.66; reward = -510.0; mean_reward/100_episodes = -509.73; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 06:09:55
Episode no = 200; won: False; iter_time_steps = 21; Q(s,a) = nan; score = -520.0; mean_score/100_episodes = -509.25; reward = -520.0; mean_reward/100_episodes = -509.2; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-24 06:09:56
Episode no = 300; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.61; reward = -507.0; mean_reward/100_episodes = -510.47; and epsilon = 0.96, win percentage = 0.0, 2024-11-24 06:09:56
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = 0.02216356427666087; score = -508.0; mean_score/100_episodes = -509.38; reward = -508.0; mean_reward/100_episodes = -509.11; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-24 06:09:57
Episode no = 500; won: False; iter_time_steps = 10; Q(s,a) = 0.019858670720304037; score = -509.0; mean_score/100_episodes = -509.28; reward = -509.0; mean_reward/100_episodes = -509.23; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-24 06:09:57
Episode no = 600; won: False; iter_time_steps = 14; Q(s,a) = nan; score = -513.0; mean_score/100_episodes = -509.15; reward = -513.0; mean_reward/100_episodes = -508.85; and epsilon = 0.92, win percentage = 0.0, 2024-11-24 06:09:58
Episode no = 700; won: False; iter_time_steps = 10; Q(s,a) = 0.015450332970393632; score = -509.0; mean_score/100_episodes = -508.8; reward = -509.0; mean_reward/100_episodes = -508.61; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-24 06:09:58
Episode no = 800; won: False; iter_time_steps = 11; Q(s,a) = 0.012805251873017778; score = -510.0; mean_score/100_episodes = -509.71; reward = -510.0; mean_reward/100_episodes = -509.67; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-24 06:09:59
Episode no = 900; won: False; iter_time_steps = 10; Q(s,a) = 0.010221955279003207; score = -509.0; mean_score/100_episodes = -509.68; reward = -509.0; mean_reward/100_episodes = -509.62; and epsilon = 0.88, win percentage = 0.0, 2024-11-24 06:10:00
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = 0.008145601872289233; score = -508.0; mean_score/100_episodes = -498.89; reward = -508.0; mean_reward/100_episodes = -502.67; and epsilon = 0.8666666666666667, win percentage = 0.01, 2024-11-24 06:10:00
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = 0.0054432926412816525; score = -511.0; mean_score/100_episodes = -509.73; reward = -511.0; mean_reward/100_episodes = -509.29; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-24 06:10:01
Episode no = 1200; won: False; iter_time_steps = 22; Q(s,a) = 0.003061998316217532; score = -521.0; mean_score/100_episodes = -509.14; reward = -521.0; mean_reward/100_episodes = -509.16; and epsilon = 0.84, win percentage = 0.0, 2024-11-24 06:10:02
Episode no = 1300; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.56; reward = -510.0; mean_reward/100_episodes = -509.31; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-24 06:10:02
Episode no = 1400; won: False; iter_time_steps = 18; Q(s,a) = -0.0017727848141426842; score = -517.0; mean_score/100_episodes = -508.46; reward = -517.0; mean_reward/100_episodes = -507.84; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-24 06:10:03
Episode no = 1500; won: False; iter_time_steps = 22; Q(s,a) = -0.004784714883162771; score = -521.0; mean_score/100_episodes = -510.14; reward = -521.0; mean_reward/100_episodes = -509.69; and epsilon = 0.8, win percentage = 0.0, 2024-11-24 06:10:04
