Episode no = 100; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.56; reward = -510.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-20 05:51:35
Episode no = 200; won: False; iter_time_steps = 11; Q(s,a) = -0.33099228640074957; score = -510.0; mean_score/100_episodes = -508.61; reward = -510.0; mean_reward/100_episodes = -508.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-20 05:51:41
Episode no = 300; won: False; iter_time_steps = 22; Q(s,a) = -0.5501218717898141; score = -521.0; mean_score/100_episodes = -509.12; reward = -521.0; mean_reward/100_episodes = -508.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-20 05:51:47
Episode no = 400; won: False; iter_time_steps = 8; Q(s,a) = -0.7710233223461969; score = -507.0; mean_score/100_episodes = -509.32; reward = -507.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-20 05:51:53
Episode no = 500; won: False; iter_time_steps = 15; Q(s,a) = -0.9974912474436551; score = -504.0; mean_score/100_episodes = -509.17; reward = -514.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-20 05:51:59
Episode no = 600; won: False; iter_time_steps = 13; Q(s,a) = -1.2258751657515554; score = -512.0; mean_score/100_episodes = -509.38; reward = -512.0; mean_reward/100_episodes = -509.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-20 05:52:06
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.11; reward = -507.0; mean_reward/100_episodes = -509.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-20 05:52:13
Episode no = 800; won: False; iter_time_steps = 10; Q(s,a) = -1.9939557693181271; score = -509.0; mean_score/100_episodes = -509.2; reward = -509.0; mean_reward/100_episodes = -509.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-20 05:52:19
Episode no = 900; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.05; reward = -508.0; mean_reward/100_episodes = -509.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-20 05:52:26
Episode no = 1000; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.82; reward = -506.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-20 05:52:32
Episode no = 1100; won: False; iter_time_steps = 18; Q(s,a) = -4.545589027277504; score = -517.0; mean_score/100_episodes = -509.36; reward = -517.0; mean_reward/100_episodes = -509.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-20 05:52:39
Episode no = 1200; won: False; iter_time_steps = 11; Q(s,a) = -4.386207987993821; score = -510.0; mean_score/100_episodes = -510.09; reward = -510.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-20 05:52:45
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = -5.433030681811422; score = -507.0; mean_score/100_episodes = -508.87; reward = -507.0; mean_reward/100_episodes = -508.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-20 05:52:52
Episode no = 1400; won: False; iter_time_steps = 11; Q(s,a) = -6.587049070932965; score = -510.0; mean_score/100_episodes = -509.75; reward = -510.0; mean_reward/100_episodes = -509.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-20 05:52:59
Episode no = 1500; won: False; iter_time_steps = 7; Q(s,a) = -5.582487942748889; score = -506.0; mean_score/100_episodes = -510.21; reward = -506.0; mean_reward/100_episodes = -510.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-20 05:53:06
Episode no = 1600; won: False; iter_time_steps = 9; Q(s,a) = -8.39494826526044; score = -508.0; mean_score/100_episodes = -509.15; reward = -508.0; mean_reward/100_episodes = -509.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-20 05:53:13
Episode no = 1700; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.12; reward = -507.0; mean_reward/100_episodes = -509.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-20 05:53:19
Episode no = 1800; won: False; iter_time_steps = 12; Q(s,a) = -6.994249746676714; score = -511.0; mean_score/100_episodes = -509.22; reward = -511.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-20 05:53:26
Episode no = 1900; won: False; iter_time_steps = 24; Q(s,a) = -9.526188574720614; score = -523.0; mean_score/100_episodes = -509.33; reward = -523.0; mean_reward/100_episodes = -509.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-20 05:53:33
Episode no = 2000; won: False; iter_time_steps = 25; Q(s,a) = -9.245412775911653; score = -524.0; mean_score/100_episodes = -509.14; reward = -524.0; mean_reward/100_episodes = -509.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-20 05:53:40
Episode no = 2100; won: False; iter_time_steps = 6; Q(s,a) = -11.320796005659677; score = -505.0; mean_score/100_episodes = -509.6; reward = -505.0; mean_reward/100_episodes = -509.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-20 05:53:48
Episode no = 2200; won: False; iter_time_steps = 8; Q(s,a) = -9.962880618045656; score = -507.0; mean_score/100_episodes = -509.7; reward = -507.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-20 05:53:56
Episode no = 2300; won: False; iter_time_steps = 11; Q(s,a) = -10.274346672753778; score = -510.0; mean_score/100_episodes = -510.03; reward = -510.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-20 05:54:04
Episode no = 2400; won: False; iter_time_steps = 7; Q(s,a) = -10.48367393722915; score = -506.0; mean_score/100_episodes = -509.35; reward = -506.0; mean_reward/100_episodes = -509.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-20 05:54:10
Episode no = 2500; won: False; iter_time_steps = 15; Q(s,a) = -13.159546078558739; score = -504.0; mean_score/100_episodes = -509.75; reward = -492.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-20 05:54:18
Episode no = 2600; won: False; iter_time_steps = 7; Q(s,a) = -12.514475912158328; score = -506.0; mean_score/100_episodes = -509.45; reward = -506.0; mean_reward/100_episodes = -509.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-20 05:54:25
Episode no = 2700; won: False; iter_time_steps = 9; Q(s,a) = -11.858023800429592; score = -508.0; mean_score/100_episodes = -508.82; reward = -508.0; mean_reward/100_episodes = -508.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-20 05:54:32
