Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.78; reward = -506.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 08:57:54
Episode no = 200; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.38; reward = -505.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-10 08:58:00
Episode no = 300; won: False; iter_time_steps = 14; Q(s,a) = nan; score = -513.0; mean_score/100_episodes = -509.71; reward = -513.0; mean_reward/100_episodes = -509.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-10 08:58:07
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -508.91; reward = -508.0; mean_reward/100_episodes = -508.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-10 08:58:13
Episode no = 500; won: False; iter_time_steps = 19; Q(s,a) = -1.0528608220743645; score = -508.0; mean_score/100_episodes = -508.95; reward = -496.0; mean_reward/100_episodes = -508.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-10 08:58:18
Episode no = 600; won: False; iter_time_steps = 12; Q(s,a) = -1.2941229337045521; score = -511.0; mean_score/100_episodes = -510.0; reward = -511.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-10 08:58:25
Episode no = 700; won: False; iter_time_steps = 24; Q(s,a) = -1.539005767770088; score = -523.0; mean_score/100_episodes = -499.86; reward = -523.0; mean_reward/100_episodes = -503.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.01, 2024-12-10 08:58:32
Episode no = 800; won: False; iter_time_steps = 10; Q(s,a) = -2.676825421036936; score = -509.0; mean_score/100_episodes = -509.62; reward = -509.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-10 08:58:38
Episode no = 900; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.07; reward = -508.0; mean_reward/100_episodes = -509.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-10 08:58:45
Episode no = 1000; won: False; iter_time_steps = 11; Q(s,a) = -4.163921111601123; score = -510.0; mean_score/100_episodes = -510.01; reward = -510.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-10 08:58:52
Episode no = 1100; won: False; iter_time_steps = 9; Q(s,a) = -4.742562937749419; score = -508.0; mean_score/100_episodes = -510.69; reward = -508.0; mean_reward/100_episodes = -510.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-10 08:58:59
