Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.92; reward = -506.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 09:04:05
Episode no = 200; won: False; iter_time_steps = 12; Q(s,a) = -0.3668263044216013; score = -511.0; mean_score/100_episodes = -509.7; reward = -511.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-10 09:04:12
Episode no = 300; won: False; iter_time_steps = 10; Q(s,a) = -0.5913003455551727; score = -509.0; mean_score/100_episodes = -509.44; reward = -509.0; mean_reward/100_episodes = -509.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-10 09:04:19
Episode no = 400; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -517.0; mean_score/100_episodes = -510.09; reward = -517.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-10 09:04:26
Episode no = 500; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.03; reward = -506.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-10 09:04:33
Episode no = 600; won: False; iter_time_steps = 9; Q(s,a) = -1.3951737353965237; score = -508.0; mean_score/100_episodes = -509.3; reward = -508.0; mean_reward/100_episodes = -509.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-10 09:04:39
Episode no = 700; won: False; iter_time_steps = 11; Q(s,a) = -2.035661509520074; score = -510.0; mean_score/100_episodes = -509.18; reward = -510.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-10 09:04:46
Episode no = 800; won: False; iter_time_steps = 9; Q(s,a) = -2.569237841843563; score = -508.0; mean_score/100_episodes = -510.45; reward = -508.0; mean_reward/100_episodes = -510.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-10 09:04:53
Episode no = 900; won: False; iter_time_steps = 21; Q(s,a) = -3.0565181118153455; score = -520.0; mean_score/100_episodes = -509.04; reward = -520.0; mean_reward/100_episodes = -508.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-10 09:05:00
Episode no = 1000; won: False; iter_time_steps = 7; Q(s,a) = -4.551429433966639; score = -506.0; mean_score/100_episodes = -509.29; reward = -506.0; mean_reward/100_episodes = -509.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-10 09:05:07
Episode no = 1100; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.81; reward = -505.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-10 09:05:14
Episode no = 1200; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.85; reward = -509.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-10 09:05:21
Episode no = 1300; won: False; iter_time_steps = 10; Q(s,a) = -6.5053945732691325; score = -509.0; mean_score/100_episodes = -510.71; reward = -509.0; mean_reward/100_episodes = -510.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-10 09:05:29
Episode no = 1400; won: False; iter_time_steps = 11; Q(s,a) = -7.147444305561136; score = -510.0; mean_score/100_episodes = -509.44; reward = -510.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-10 09:05:36
Episode no = 1500; won: False; iter_time_steps = 10; Q(s,a) = -8.307851556413919; score = -509.0; mean_score/100_episodes = -510.74; reward = -509.0; mean_reward/100_episodes = -510.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-10 09:05:45
Episode no = 1600; won: False; iter_time_steps = 7; Q(s,a) = -8.998325552190598; score = -506.0; mean_score/100_episodes = -509.75; reward = -506.0; mean_reward/100_episodes = -509.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-10 09:05:52
