Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.16; reward = -506.0; mean_reward/100_episodes = -509.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 14:18:58
Episode no = 200; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -507.95; reward = -510.0; mean_reward/100_episodes = -507.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-10 14:19:03
Episode no = 300; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.04; reward = -509.0; mean_reward/100_episodes = -510.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-10 14:19:09
Episode no = 400; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.12; reward = -504.0; mean_reward/100_episodes = -509.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-10 14:19:14
Episode no = 500; won: False; iter_time_steps = 12; Q(s,a) = -1.0386135744513514; score = -511.0; mean_score/100_episodes = -510.35; reward = -511.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-10 14:19:20
Episode no = 600; won: False; iter_time_steps = 16; Q(s,a) = -1.2734260281246514; score = -515.0; mean_score/100_episodes = -509.82; reward = -515.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-10 14:19:26
Episode no = 700; won: False; iter_time_steps = 10; Q(s,a) = -1.5063268385014297; score = -509.0; mean_score/100_episodes = -509.63; reward = -509.0; mean_reward/100_episodes = -509.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-10 14:19:32
Episode no = 800; won: False; iter_time_steps = 9; Q(s,a) = -1.7401238546433888; score = -508.0; mean_score/100_episodes = -509.98; reward = -508.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-10 14:19:39
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.01; reward = -506.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-10 14:19:46
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -3.1413412639098954; score = -509.0; mean_score/100_episodes = -510.49; reward = -509.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-10 14:19:54
Episode no = 1100; won: False; iter_time_steps = 10; Q(s,a) = -4.034139461973755; score = -509.0; mean_score/100_episodes = -509.92; reward = -509.0; mean_reward/100_episodes = -509.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-10 14:20:01
