Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.41; reward = -507.0; mean_reward/100_episodes = -509.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-11 07:02:37
Episode no = 200; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.72; reward = -506.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-11 07:02:46
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.48; reward = -508.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-11 07:02:53
Episode no = 400; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.03; reward = -509.0; mean_reward/100_episodes = -508.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-11 07:03:01
Episode no = 500; won: False; iter_time_steps = 17; Q(s,a) = nan; score = -516.0; mean_score/100_episodes = -508.98; reward = -516.0; mean_reward/100_episodes = -508.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-11 07:03:08
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.1; reward = -507.0; mean_reward/100_episodes = -509.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-11 07:03:15
Episode no = 700; won: False; iter_time_steps = 7; Q(s,a) = -1.4658605903218265; score = -506.0; mean_score/100_episodes = -508.77; reward = -506.0; mean_reward/100_episodes = -508.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-11 07:03:23
Episode no = 800; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -510.14; reward = -511.0; mean_reward/100_episodes = -510.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-11 07:03:32
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = -1.9415534893064275; score = -506.0; mean_score/100_episodes = -509.97; reward = -506.0; mean_reward/100_episodes = -509.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-11 07:03:40
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -2.3199140700993324; score = -509.0; mean_score/100_episodes = -509.78; reward = -509.0; mean_reward/100_episodes = -509.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-11 07:03:48
Episode no = 1100; won: False; iter_time_steps = 9; Q(s,a) = -3.2835330733181816; score = -508.0; mean_score/100_episodes = -509.98; reward = -508.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-11 07:03:56
Episode no = 1200; won: False; iter_time_steps = 14; Q(s,a) = -4.181347149132158; score = -513.0; mean_score/100_episodes = -509.55; reward = -513.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-11 07:04:04
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = -5.036510830312224; score = -507.0; mean_score/100_episodes = -510.01; reward = -507.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-11 07:04:13
Episode no = 1400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.29; reward = -508.0; mean_reward/100_episodes = -509.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-11 07:04:21
Episode no = 1500; won: False; iter_time_steps = 6; Q(s,a) = -6.65637278985642; score = -505.0; mean_score/100_episodes = -509.86; reward = -505.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-11 07:04:30
