Episode no = 100; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -509.9; reward = -512.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-12 03:06:44
Episode no = 200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.6; reward = -507.0; mean_reward/100_episodes = -509.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-12 03:06:52
Episode no = 300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.66; reward = -506.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-12 03:07:01
Episode no = 400; won: False; iter_time_steps = 10; Q(s,a) = -0.8428256245966407; score = -509.0; mean_score/100_episodes = -510.04; reward = -509.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-12 03:07:10
Episode no = 500; won: False; iter_time_steps = 8; Q(s,a) = -1.080736887974596; score = -507.0; mean_score/100_episodes = -510.06; reward = -507.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-12 03:07:18
Episode no = 600; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -508.9; reward = -511.0; mean_reward/100_episodes = -508.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-12 03:07:26
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = -1.5396086295344258; score = -508.0; mean_score/100_episodes = -510.48; reward = -508.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-12 03:07:35
Episode no = 800; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.59; reward = -508.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-12 03:07:44
Episode no = 900; won: False; iter_time_steps = 14; Q(s,a) = -2.006403084177817; score = -513.0; mean_score/100_episodes = -510.26; reward = -513.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-12 03:07:53
Episode no = 1000; won: False; iter_time_steps = 16; Q(s,a) = -2.7679876161507626; score = -515.0; mean_score/100_episodes = -509.78; reward = -515.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-12 03:08:02
Episode no = 1100; won: False; iter_time_steps = 11; Q(s,a) = -3.7002991431419865; score = -510.0; mean_score/100_episodes = -509.07; reward = -510.0; mean_reward/100_episodes = -508.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-12 03:08:11
Episode no = 1200; won: False; iter_time_steps = 9; Q(s,a) = -4.584759798460336; score = -508.0; mean_score/100_episodes = -509.79; reward = -508.0; mean_reward/100_episodes = -509.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-12 03:08:21
Episode no = 1300; won: False; iter_time_steps = 9; Q(s,a) = -5.43503348786445; score = -508.0; mean_score/100_episodes = -509.69; reward = -508.0; mean_reward/100_episodes = -509.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-12 03:08:30
Episode no = 1400; won: False; iter_time_steps = 13; Q(s,a) = -6.233205634022163; score = -512.0; mean_score/100_episodes = -509.88; reward = -512.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-12 03:08:39
Episode no = 1500; won: False; iter_time_steps = 9; Q(s,a) = -6.979065736949154; score = -508.0; mean_score/100_episodes = -509.42; reward = -508.0; mean_reward/100_episodes = -509.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-12 03:08:48
Episode no = 1600; won: False; iter_time_steps = 22; Q(s,a) = -7.704198171791122; score = -521.0; mean_score/100_episodes = -510.64; reward = -521.0; mean_reward/100_episodes = -510.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-12 03:08:58
Episode no = 1700; won: False; iter_time_steps = 6; Q(s,a) = -8.403240345752799; score = -505.0; mean_score/100_episodes = -510.09; reward = -505.0; mean_reward/100_episodes = -510.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-12 03:09:08
Episode no = 1800; won: False; iter_time_steps = 7; Q(s,a) = -9.07004730836512; score = -506.0; mean_score/100_episodes = -510.41; reward = -506.0; mean_reward/100_episodes = -510.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-12 03:09:18
Episode no = 1900; won: False; iter_time_steps = 9; Q(s,a) = -9.699279109437718; score = -508.0; mean_score/100_episodes = -509.67; reward = -508.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-12 03:09:28
Episode no = 2000; won: False; iter_time_steps = 7; Q(s,a) = -10.254304563193271; score = -506.0; mean_score/100_episodes = -509.56; reward = -506.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-12 03:09:38
Episode no = 2100; won: False; iter_time_steps = 10; Q(s,a) = -10.80094104686237; score = -509.0; mean_score/100_episodes = -510.15; reward = -509.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-12 03:09:49
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = -11.315830485977308; score = -509.0; mean_score/100_episodes = -509.5; reward = -509.0; mean_reward/100_episodes = -509.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-12 03:09:59
Episode no = 2300; won: False; iter_time_steps = 11; Q(s,a) = -11.81110521160402; score = -510.0; mean_score/100_episodes = -509.99; reward = -510.0; mean_reward/100_episodes = -509.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-12 03:10:08
Episode no = 2400; won: False; iter_time_steps = 13; Q(s,a) = -12.197686534552783; score = -512.0; mean_score/100_episodes = -509.84; reward = -512.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-12 03:10:19
Episode no = 2500; won: False; iter_time_steps = 11; Q(s,a) = -12.633924713071575; score = -510.0; mean_score/100_episodes = -509.64; reward = -510.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-12 03:10:28
Episode no = 2600; won: False; iter_time_steps = 17; Q(s,a) = -13.027657893626492; score = -516.0; mean_score/100_episodes = -510.02; reward = -516.0; mean_reward/100_episodes = -510.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-12 03:10:38
