Episode no = 100; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.39; reward = -511.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-14 11:42:54
Episode no = 200; won: False; iter_time_steps = 18; Q(s,a) = -0.3611077930175811; score = -517.0; mean_score/100_episodes = -509.88; reward = -517.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-14 11:43:03
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = -0.5917787730786971; score = -508.0; mean_score/100_episodes = -509.65; reward = -508.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-14 11:43:12
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.29; reward = -508.0; mean_reward/100_episodes = -508.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-14 11:43:21
Episode no = 500; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.95; reward = -511.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-14 11:43:31
Episode no = 600; won: False; iter_time_steps = 20; Q(s,a) = -1.2894459004067598; score = -519.0; mean_score/100_episodes = -510.16; reward = -519.0; mean_reward/100_episodes = -510.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-14 11:43:40
Episode no = 700; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.65; reward = -506.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-14 11:43:49
Episode no = 800; won: False; iter_time_steps = 9; Q(s,a) = -1.7747341791522258; score = -508.0; mean_score/100_episodes = -510.35; reward = -508.0; mean_reward/100_episodes = -510.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-14 11:43:59
Episode no = 900; won: False; iter_time_steps = 8; Q(s,a) = -1.992024410748702; score = -507.0; mean_score/100_episodes = -508.9; reward = -507.0; mean_reward/100_episodes = -508.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-14 11:44:08
Episode no = 1000; won: False; iter_time_steps = 7; Q(s,a) = -2.4469384056110037; score = -506.0; mean_score/100_episodes = -509.02; reward = -506.0; mean_reward/100_episodes = -508.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-14 11:44:16
Episode no = 1100; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -509.3; reward = -512.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-14 11:44:24
