Episode no = 100; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.22; reward = -508.0; mean_reward/100_episodes = -510.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-14 11:12:34
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.7; reward = -508.0; mean_reward/100_episodes = -509.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-14 11:12:41
Episode no = 300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.93; reward = -506.0; mean_reward/100_episodes = -510.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-14 11:12:49
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.28; reward = -508.0; mean_reward/100_episodes = -509.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-14 11:12:55
Episode no = 500; won: False; iter_time_steps = 9; Q(s,a) = -1.0621020448294651; score = -508.0; mean_score/100_episodes = -508.93; reward = -508.0; mean_reward/100_episodes = -508.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-14 11:13:02
Episode no = 600; won: False; iter_time_steps = 10; Q(s,a) = -1.3222489475301886; score = -509.0; mean_score/100_episodes = -510.64; reward = -509.0; mean_reward/100_episodes = -510.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-14 11:13:10
Episode no = 700; won: False; iter_time_steps = 7; Q(s,a) = -1.5483428447640784; score = -506.0; mean_score/100_episodes = -509.54; reward = -506.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-14 11:13:17
Episode no = 800; won: False; iter_time_steps = 7; Q(s,a) = -1.7908619991861618; score = -506.0; mean_score/100_episodes = -509.69; reward = -506.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-14 11:13:24
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.99; reward = -506.0; mean_reward/100_episodes = -509.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-14 11:13:31
Episode no = 1000; won: False; iter_time_steps = 11; Q(s,a) = -2.2516809323681994; score = -510.0; mean_score/100_episodes = -509.83; reward = -510.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-14 11:13:38
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = -2.6173733597422797; score = -511.0; mean_score/100_episodes = -510.11; reward = -511.0; mean_reward/100_episodes = -510.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-14 11:13:45
Episode no = 1200; won: False; iter_time_steps = 8; Q(s,a) = -3.4205915364654533; score = -507.0; mean_score/100_episodes = -510.19; reward = -507.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-14 11:13:53
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -511.2; reward = -507.0; mean_reward/100_episodes = -511.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-14 11:14:02
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.4; reward = -507.0; mean_reward/100_episodes = -509.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-14 11:14:10
Episode no = 1500; won: False; iter_time_steps = 12; Q(s,a) = -5.972513332983463; score = -511.0; mean_score/100_episodes = -511.97; reward = -511.0; mean_reward/100_episodes = -512.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-14 11:14:21
Episode no = 1600; won: False; iter_time_steps = 23; Q(s,a) = -6.748048302002858; score = -522.0; mean_score/100_episodes = -509.69; reward = -522.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-14 11:14:30
Episode no = 1700; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.49; reward = -508.0; mean_reward/100_episodes = -509.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-14 11:14:39
Episode no = 1800; won: False; iter_time_steps = 8; Q(s,a) = -8.184100082253114; score = -507.0; mean_score/100_episodes = -508.92; reward = -507.0; mean_reward/100_episodes = -508.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-14 11:14:47
Episode no = 1900; won: False; iter_time_steps = 10; Q(s,a) = -8.865409064658325; score = -509.0; mean_score/100_episodes = -508.6; reward = -509.0; mean_reward/100_episodes = -508.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-14 11:14:55
Episode no = 2000; won: False; iter_time_steps = 9; Q(s,a) = -9.461830410396688; score = -508.0; mean_score/100_episodes = -510.97; reward = -508.0; mean_reward/100_episodes = -510.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-14 11:15:05
Episode no = 2100; won: False; iter_time_steps = 10; Q(s,a) = -10.08395531685746; score = -509.0; mean_score/100_episodes = -508.88; reward = -509.0; mean_reward/100_episodes = -508.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-14 11:15:14
Episode no = 2200; won: False; iter_time_steps = 13; Q(s,a) = -10.653922389856294; score = -502.0; mean_score/100_episodes = -508.65; reward = -501.0; mean_reward/100_episodes = -508.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-14 11:15:23
Episode no = 2300; won: False; iter_time_steps = 15; Q(s,a) = -11.176832856462829; score = -514.0; mean_score/100_episodes = -509.05; reward = -514.0; mean_reward/100_episodes = -509.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-14 11:15:31
Episode no = 2400; won: False; iter_time_steps = 6; Q(s,a) = -11.718894414267032; score = -505.0; mean_score/100_episodes = -509.92; reward = -505.0; mean_reward/100_episodes = -509.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-14 11:15:41
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -12.216683414945745; score = -509.0; mean_score/100_episodes = -509.23; reward = -509.0; mean_reward/100_episodes = -508.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-14 11:15:51
Episode no = 2600; won: False; iter_time_steps = 14; Q(s,a) = -12.700979371929561; score = -503.0; mean_score/100_episodes = -509.47; reward = -502.0; mean_reward/100_episodes = -509.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-14 11:16:00
Episode no = 2700; won: False; iter_time_steps = 7; Q(s,a) = -13.156750556128634; score = -506.0; mean_score/100_episodes = -509.41; reward = -506.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-14 11:16:10
Episode no = 2800; won: False; iter_time_steps = 8; Q(s,a) = -13.57579828065067; score = -507.0; mean_score/100_episodes = -509.88; reward = -507.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-14 11:16:19
Episode no = 2900; won: False; iter_time_steps = 16; Q(s,a) = -13.968592977957673; score = -515.0; mean_score/100_episodes = -508.99; reward = -515.0; mean_reward/100_episodes = -508.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-14 11:16:28
Episode no = 3000; won: False; iter_time_steps = 14; Q(s,a) = -14.360414303346477; score = -503.0; mean_score/100_episodes = -508.9; reward = -502.0; mean_reward/100_episodes = -508.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-14 11:16:38
Episode no = 3100; won: False; iter_time_steps = 10; Q(s,a) = -14.692618913460356; score = -509.0; mean_score/100_episodes = -509.26; reward = -509.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-14 11:16:47
Episode no = 3200; won: False; iter_time_steps = 11; Q(s,a) = -15.05414985804631; score = -510.0; mean_score/100_episodes = -509.71; reward = -510.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-14 11:16:56
Episode no = 3300; won: False; iter_time_steps = 19; Q(s,a) = -15.409107250550196; score = -508.0; mean_score/100_episodes = -508.98; reward = -507.0; mean_reward/100_episodes = -508.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-14 11:17:05
Episode no = 3400; won: False; iter_time_steps = 6; Q(s,a) = -15.726946795324872; score = -505.0; mean_score/100_episodes = -509.85; reward = -505.0; mean_reward/100_episodes = -509.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-14 11:17:15
Episode no = 3500; won: False; iter_time_steps = 22; Q(s,a) = -15.998525672905037; score = -521.0; mean_score/100_episodes = -509.29; reward = -521.0; mean_reward/100_episodes = -508.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-14 11:17:26
