Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.03; reward = -509.0; mean_reward/100_episodes = -509.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-12 02:59:15
Episode no = 200; won: False; iter_time_steps = 17; Q(s,a) = -0.3832716159189069; score = -516.0; mean_score/100_episodes = -509.59; reward = -516.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-12 02:59:23
Episode no = 300; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.0; reward = -511.0; mean_reward/100_episodes = -508.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-12 02:59:30
Episode no = 400; won: False; iter_time_steps = 20; Q(s,a) = nan; score = -519.0; mean_score/100_episodes = -509.71; reward = -519.0; mean_reward/100_episodes = -509.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-12 02:59:37
Episode no = 500; won: False; iter_time_steps = 8; Q(s,a) = -1.0447144650544455; score = -507.0; mean_score/100_episodes = -508.77; reward = -507.0; mean_reward/100_episodes = -508.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-12 02:59:45
Episode no = 600; won: False; iter_time_steps = 9; Q(s,a) = -1.2773005946448248; score = -508.0; mean_score/100_episodes = -509.31; reward = -508.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-12 02:59:52
Episode no = 700; won: False; iter_time_steps = 6; Q(s,a) = -1.5172132030557528; score = -505.0; mean_score/100_episodes = -510.0; reward = -505.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-12 03:00:01
Episode no = 800; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.14; reward = -509.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-12 03:00:09
Episode no = 900; won: False; iter_time_steps = 14; Q(s,a) = nan; score = -513.0; mean_score/100_episodes = -510.34; reward = -513.0; mean_reward/100_episodes = -510.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-12 03:00:17
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.82; reward = -508.0; mean_reward/100_episodes = -509.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-12 03:00:25
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -510.01; reward = -511.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-12 03:00:33
Episode no = 1200; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.72; reward = -506.0; mean_reward/100_episodes = -509.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-12 03:00:41
Episode no = 1300; won: False; iter_time_steps = 10; Q(s,a) = -6.113234626468378; score = -509.0; mean_score/100_episodes = -509.5; reward = -509.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-12 03:00:48
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = -6.691500093347145; score = -507.0; mean_score/100_episodes = -510.09; reward = -507.0; mean_reward/100_episodes = -510.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-12 03:00:57
Episode no = 1500; won: False; iter_time_steps = 11; Q(s,a) = -7.448100399912632; score = -510.0; mean_score/100_episodes = -509.01; reward = -510.0; mean_reward/100_episodes = -508.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-12 03:01:05
Episode no = 1600; won: False; iter_time_steps = 22; Q(s,a) = -8.210131361483093; score = -521.0; mean_score/100_episodes = -509.57; reward = -521.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-12 03:01:13
Episode no = 1700; won: False; iter_time_steps = 6; Q(s,a) = -9.196219445308033; score = -505.0; mean_score/100_episodes = -509.99; reward = -505.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-12 03:01:21
Episode no = 1800; won: False; iter_time_steps = 22; Q(s,a) = -9.653945203006083; score = -521.0; mean_score/100_episodes = -509.84; reward = -521.0; mean_reward/100_episodes = -509.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-12 03:01:30
Episode no = 1900; won: False; iter_time_steps = 13; Q(s,a) = -10.191060276895861; score = -512.0; mean_score/100_episodes = -509.5; reward = -512.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-12 03:01:38
Episode no = 2000; won: False; iter_time_steps = 21; Q(s,a) = -10.62136889549885; score = -520.0; mean_score/100_episodes = -509.49; reward = -520.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-12 03:01:46
Episode no = 2100; won: False; iter_time_steps = 8; Q(s,a) = -11.125811348069554; score = -507.0; mean_score/100_episodes = -508.96; reward = -507.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-12 03:01:53
