Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.54; reward = -509.0; mean_reward/100_episodes = -509.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-16 05:42:47
Episode no = 200; won: False; iter_time_steps = 14; Q(s,a) = -0.35988105431143597; score = -513.0; mean_score/100_episodes = -509.73; reward = -513.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-16 05:42:55
Episode no = 300; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.52; reward = -510.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-16 05:43:04
Episode no = 400; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.24; reward = -506.0; mean_reward/100_episodes = -509.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-16 05:43:13
Episode no = 500; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.68; reward = -507.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-16 05:43:22
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.62; reward = -507.0; mean_reward/100_episodes = -509.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-16 05:43:30
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.59; reward = -508.0; mean_reward/100_episodes = -509.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-16 05:43:40
Episode no = 800; won: False; iter_time_steps = 12; Q(s,a) = -2.89525594884286; score = -511.0; mean_score/100_episodes = -509.31; reward = -511.0; mean_reward/100_episodes = -509.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-16 05:43:48
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = -4.110227067694237; score = -506.0; mean_score/100_episodes = -510.15; reward = -506.0; mean_reward/100_episodes = -510.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-16 05:43:57
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = -4.925870741882187; score = -508.0; mean_score/100_episodes = -509.42; reward = -508.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-16 05:44:07
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = -5.721572746508978; score = -511.0; mean_score/100_episodes = -509.52; reward = -511.0; mean_reward/100_episodes = -509.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-16 05:44:17
