Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.33; reward = -506.0; mean_reward/100_episodes = -509.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-16 05:50:06
Episode no = 200; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.93; reward = -509.0; mean_reward/100_episodes = -509.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-16 05:50:16
Episode no = 300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.65; reward = -506.0; mean_reward/100_episodes = -509.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-16 05:50:25
Episode no = 400; won: False; iter_time_steps = 6; Q(s,a) = -0.8647836975283052; score = -505.0; mean_score/100_episodes = -510.4; reward = -505.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-16 05:50:37
Episode no = 500; won: False; iter_time_steps = 9; Q(s,a) = -1.1039002578495192; score = -508.0; mean_score/100_episodes = -509.87; reward = -508.0; mean_reward/100_episodes = -509.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-16 05:50:47
Episode no = 600; won: False; iter_time_steps = 13; Q(s,a) = -1.3372829931726988; score = -512.0; mean_score/100_episodes = -509.77; reward = -512.0; mean_reward/100_episodes = -509.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-16 05:50:58
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -510.02; reward = -508.0; mean_reward/100_episodes = -509.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-16 05:51:08
Episode no = 800; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.23; reward = -506.0; mean_reward/100_episodes = -509.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-16 05:51:18
Episode no = 900; won: False; iter_time_steps = 17; Q(s,a) = -3.130380988021808; score = -506.0; mean_score/100_episodes = -509.48; reward = -505.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-16 05:51:28
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -4.057747496966796; score = -509.0; mean_score/100_episodes = -509.58; reward = -509.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-16 05:51:39
Episode no = 1100; won: False; iter_time_steps = 17; Q(s,a) = -5.027378521725932; score = -516.0; mean_score/100_episodes = -509.42; reward = -516.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-16 05:51:49
